dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.779578,0.010838,1.780000,2.000000,0.000000,0.000000,0.011918
0.020000,1.819575,0.011320,1.820000,2.000000,0.000000,0.000000,0.012167
0.020000,1.859572,0.011812,1.860000,2.000000,0.000000,0.000000,0.012416
0.020000,1.899569,0.012313,1.900000,2.000000,0.000000,0.000000,0.012665
0.020000,1.939566,0.012825,1.940000,2.000000,0.000000,0.000000,0.012912
0.020000,1.979562,0.013346,1.980000,2.000000,0.000000,0.000000,0.013158
0.020000,2.019559,0.013878,2.020000,2.000000,0.000000,0.000000,0.013404
0.020000,2.059555,0.014419,2.060000,2.000000,0.000000,0.000000,0.013649
0.020000,2.099551,0.014969,2.100000,2.000000,0.000000,0.000000,0.013893
0.020000,2.139547,0.015530,2.140000,2.000000,0.000000,0.000000,0.014137
0.020000,2.179543,0.016100,2.180000,2.000000,0.000000,0.000000,0.014379
0.020000,2.219539,0.016680,2.220000,2.000000,0.000000,0.000000,0.014621
0.020000,2.259535,0.017270,2.260000,2.000000,0.000000,0.000000,0.014862
0.020000,2.299530,0.017869,2.300000,2.000000,0.000000,0.000000,0.015102
0.020000,2.339525,0.018478,2.340000,2.000000,0.000000,0.000000,0.015341
0.020000,2.379521,0.019096,2.380000,2.000000,0.000000,0.000000,0.015580
0.020000,2.419516,0.019724,2.420000,2.000000,0.000000,0.000000,0.015818
0.020000,2.459511,0.020362,2.460000,2.000000,0.000000,0.000000,0.016054
0.020000,2.499505,0.021009,2.500000,2.000000,0.000000,0.000000,0.016291
0.020000,2.539500,0.021665,2.540000,2.000000,0.000000,0.000000,0.016526
0.020000,2.579495,0.022331,2.580000,2.000000,0.000000,0.000000,0.016760
0.020000,2.619489,0.023006,2.620000,2.000000,0.000000,0.000000,0.016994
0.020000,2.659483,0.023690,2.660000,2.000000,0.000000,0.000000,0.017227
0.020000,2.699477,0.024384,2.700000,2.000000,0.000000,0.000000,0.017459
