dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,0.000005
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,0.000001
0.020000,0.001344,-0.000000,0.002600,0.100000,2.000000,0.000000,6.283179
0.020000,0.003744,-0.000000,0.005000,0.140000,2.000000,0.000000,6.283167
0.020000,0.006944,-0.000000,0.008200,0.180000,2.000000,-0.000000,6.283152
0.020000,0.010944,-0.000000,0.012200,0.220000,2.000000,0.000000,6.283133
0.020000,0.015744,-0.000001,0.017000,0.260000,2.000000,0.000000,6.283110
0.020000,0.021344,-0.000001,0.022600,0.300000,2.000000,-0.000000,6.283083
0.020000,0.027744,-0.000002,0.029000,0.340000,2.000000,0.000000,6.283053
0.020000,0.034944,-0.000003,0.036200,0.380000,2.000000,-0.000000,6.283018
0.020000,0.042944,-0.000004,0.044200,0.420000,2.000000,0.000000,6.282980
0.020000,0.051744,-0.000006,0.053000,0.460000,2.000000,0.000000,6.282938
0.020000,0.061344,-0.000009,0.062600,0.500000,2.000000,-0.000000,6.282892
0.020000,0.071744,-0.000012,0.073000,0.540000,2.000000,0.000000,6.282843
0.020000,0.082944,-0.000016,0.084200,0.580000,2.000000,-0.000000,6.282789
0.020000,0.094944,-0.000022,0.096200,0.620000,2.000000,0.000000,6.282732
0.020000,0.107744,-0.000028,0.109000,0.660000,2.000000,0.000000,6.282672
0.020000,0.121344,-0.000035,0.122600,0.700000,2.000000,-0.000000,6.282607
0.020000,0.135744,-0.000044,0.137000,0.740000,2.000000,0.000000,6.282539
0.020000,0.150944,-0.000054,0.152200,0.780000,2.000000,0.000000,6.282467
0.020000,0.166944,-0.000066,0.168200,0.820000,2.000000,-0.000000,6.282391
0.020000,0.183744,-0.000080,0.185000,0.860000,2.000000,0.000000,6.282312
0.020000,0.201344,-0.000097,0.202600,0.900000,2.000000,0.000000,6.282229
0.020000,0.219744,-0.000115,0.221000,0.940000,2.000000,-0.000000,6.282143
0.020000,0.238944,-0.000136,0.240200,0.980000,2.000000,0.000000,6.282052
0.020000,0.258944,-0.000159,0.260200,1.020000,2.000000,0.000000,6.281959
0.020000,0.279744,-0.000186,0.281000,1.060000,2.000000,0.000000,6.281861
0.020000,0.301344,-0.000216,0.302600,1.100000,2.000000,0.000000,6.281760
0.020000,0.323744,-0.000249,0.325000,1.140000,2.000000,-0.000000,6.281656
0.020000,0.346944,-0.000285,0.348200,1.180000,2.000000,0.000000,6.281548
0.020000,0.370944,-0.000326,0.372200,1.220000,2.000000,0.000000,6.281436
0.020000,0.395744,-0.000371,0.397000,1.260000,2.000000,0.000000,6.281321
0.020000,0.421344,-0.000420,0.422600,1.300000,2.000000,0.000000,6.281203
0.020000,0.447744,-0.000474,0.449000,1.340000,2.000000,0.000000,6.281081
0.020000,0.474943,-0.000533,0.476200,1.380000,2.000000,-0.000000,6.280955
0.020000,0.502943,-0.000597,0.504200,1.420000,2.000000,0.000000,6.280826
0.020000,0.531743,-0.000667,0.533000,1.460000,2.000000,0.000000,6.280694
0.020000,0.561343,-0.000743,0.562600,1.500000,2.000000,0.000000,6.280559
0.020000,0.591743,-0.000825,0.593000,1.540000,2.000000,0.000000,6.280420
0.020000,0.622943,-0.000913,0.624200,1.580000,2.000000,0.000000,6.280278
0.020000,0.654943,-0.001009,0.656200,1.620000,2.000000,0.000000,6.280133
0.020000,0.687743,-0.001111,0.689000,1.660000,2.000000,-0.000000,6.279984
0.020000,0.721343,-0.001221,0.722600,1.700000,2.000000,0.000000,6.279833
0.020000,0.755742,-0.001339,0.757000,1.740000,2.000000,0.000000,6.279678
0.020000,0.790942,-0.001466,0.792200,1.780000,2.000000,0.000000,6.279520
0.020000,0.826942,-0.001600,0.828200,1.820000,2.000000,0.000000,6.279358
0.020000,0.863742,-0.001744,0.865000,1.860000,2.000000,0.000000,6.279194
0.020000,0.901341,-0.001898,0.902600,1.900000,2.000000,-0.000000,6.279027
0.020000,0.939741,-0.002060,0.941000,1.940000,2.000000,0.000000,6.278857
0.020000,0.978941,-0.002234,0.980200,1.980000,2.000000,0.000000,6.278683
0.020000,1.018740,-0.002416,1.020000,2.000000,1.000000,-50.000000,6.278508
0.020000,1.058740,-0.002607,1.060000,2.000000,0.000000,-50.000000,6.278332
0.020000,1.098739,-0.002804,1.100000,2.000000,0.000000,0.000000,6.278157
0.020000,1.138739,-0.003009,1.140000,2.000000,0.000000,0.000000,6.277983
0.020000,1.178738,-0.003221,1.180000,2.000000,0.000000,0.000000,6.277809
0.020000,1.218737,-0.003439,1.220000,2.000000,0.000000,0.000000,6.277636
0.020000,1.258737,-0.003665,1.260000,2.000000,0.000000,0.000000,6.277463
0.020000,1.298736,-0.003897,1.300000,2.000000,0.000000,0.000000,6.277291
0.020000,1.338735,-0.004136,1.340000,2.000000,0.000000,0.000000,6.277119
0.020000,1.378735,-0.004382,1.380000,2.000000,0.000000,0.000000,6.276948
0.020000,1.418734,-0.004635,1.420000,2.000000,0.000000,0.000000,6.276778
0.020000,1.458733,-0.004895,1.460000,2.000000,0.000000,0.000000,6.276608
0.020000,1.498732,-0.005161,1.500000,2.000000,0.000000,0.000000,6.276439
0.020000,1.538731,-0.005434,1.540000,2.000000,0.000000,0.000000,6.276270
0.020000,1.578730,-0.005714,1.580000,2.000000,0.000000,0.000000,6.276102
0.020000,1.618729,-0.006001,1.620000,2.000000,0.000000,0.000000,6.275935
0.020000,1.658728,-0.006294,1.660000,2.000000,0.000000,0.000000,6.275768
0.020000,1.698727,-0.006594,1.700000,2.000000,0.000000,0.000000,6.275602
0.020000,1.738726,-0.006901,1.740000,2.000000,0.000000,0.000000,6.275436
0.020000,1.778725,-0.007214,1.780000,2.000000,0.000000,0.000000,6.275271
0.020000,1.818723,-0.007534,1.820000,2.000000,0.000000,0.000000,6.275106
0.020000,1.858722,-0.007861,1.860000,2.000000,0.000000,0.000000,6.274942
0.020000,1.898721,-0.008194,1.900000,2.000000,0.000000,0.000000,6.274778
0.020000,1.938719,-0.008533,1.940000,2.000000,0.000000,0.000000,6.274615
0.020000,1.978718,-0.008879,1.980000,2.000000,0.000000,0.000000,6.274453
0.020000,2.018716,-0.009232,2.020000,2.000000,0.000000,0.000000,6.274291
0.020000,2.058715,-0.009591,2.060000,2.000000,0.000000,0.000000,6.274130
0.020000,2.098713,-0.009956,2.100000,2.000000,0.000000,0.000000,6.273969
0.020000,2.138711,-0.010328,2.140000,2.000000,0.000000,0.000000,6.273809
0.020000,2.178709,-0.010706,2.180000,2.000000,0.000000,0.000000,6.273650
0.020000,2.218707,-0.011091,2.220000,2.000000,0.000000,0.000000,6.273490
0.020000,2.258706,-0.011482,2.260000,2.000000,0.000000,0.000000,6.273332
0.020000,2.298704,-0.011879,2.300000,2.000000,0.000000,0.000000,6.273174
0.020000,2.338702,-0.012283,2.340000,2.000000,0.000000,0.000000,6.273017
0.020000,2.378699,-0.012693,2.380000,2.000000,0.000000,0.000000,6.272860
0.020000,2.418697,-0.013109,2.420000,2.000000,0.000000,0.000000,6.272703
0.020000,2.458695,-0.013531,2.460000,2.000000,0.000000,0.000000,6.272548
0.020000,2.498693,-0.013960,2.500000,2.000000,0.000000,0.000000,6.272393
0.020000,2.538690,-0.014395,2.540000,2.000000,0.000000,0.000000,6.272238
0.020000,2.578688,-0.014836,2.580000,2.000000,0.000000,0.000000,6.272084
0.020000,2.618685,-0.015283,2.620000,2.000000,0.000000,0.000000,6.271930
0.020000,2.658683,-0.015736,2.660000,2.000000,0.000000,0.000000,6.271777
0.020000,2.698680,-0.016195,2.700000,2.000000,0.000000,0.000000,6.271625
0.020000,2.738678,-0.016661,2.740000,2.000000,0.000000,0.000000,6.271473
0.020000,2.778675,-0.017132,2.780000,2.000000,0.000000,0.000000,6.271321
0.020000,2.818672,-0.017610,2.820000,2.000000,0.000000,0.000000,6.271170
0.020000,2.858669,-0.018093,2.860000,2.000000,0.000000,0.000000,6.271020
0.020000,2.898666,-0.018583,2.900000,2.000000,0.000000,0.000000,6.270870
0.020000,2.938663,-0.019079,2.940000,2.000000,0.000000,0.000000,6.270721
0.020000,2.978660,-0.019580,2.980000,2.000000,0.000000,0.000000,6.270572
0.020000,3.018657,-0.020088,3.020000,2.000000,0.000000,0.000000,6.270424
0.020000,3.058653,-0.020601,3.060000,2.000000,0.000000,0.000000,6.270276
0.020000,3.098650,-0.021120,3.100000,2.000000,0.000000,0.000000,6.270129
0.020000,3.138646,-0.021646,3.140000,2.000000,0.000000,0.000000,6.269982
0.020000,3.178643,-0.022177,3.180000,2.000000,0.000000,0.000000,6.269836
0.020000,3.218639,-0.022713,3.220000,2.000000,0.000000,0.000000,6.269691
0.020000,3.258636,-0.023256,3.260000,2.000000,0.000000,0.000000,6.269546
0.020000,3.298632,-0.023805,3.300000,2.000000,0.000000,0.000000,6.269401
0.020000,3.338628,-0.024359,3.340000,2.000000,0.000000,0.000000,6.269257
0.020000,3.378624,-0.024919,3.380000,2.000000,0.000000,0.000000,6.269113
0.020000,3.418620,-0.025484,3.420000,2.000000,0.000000,0.000000,6.268970
0.020000,3.458616,-0.026056,3.460000,2.000000,0.000000,0.000000,6.268828
0.020000,3.498612,-0.026633,3.500000,2.000000,0.000000,0.000000,6.268686
0.020000,3.538608,-0.027216,3.540000,2.000000,0.000000,0.000000,6.268544
0.020000,3.578603,-0.027804,3.580000,2.000000,0.000000,0.000000,6.268404
0.020000,3.618599,-0.028398,3.620000,2.000000,0.000000,0.000000,6.268263
0.020000,3.658594,-0.028998,3.660000,2.000000,0.000000,0.000000,6.268123
0.020000,3.698590,-0.029603,3.700000,2.000000,0.000000,0.000000,6.267984
0.020000,3.738585,-0.030214,3.740000,2.000000,0.000000,0.000000,6.267845
0.020000,3.778580,-0.030830,3.780000,2.000000,0.000000,0.000000,6.267707
0.020000,3.818576,-0.031452,3.820000,2.000000,0.000000,0.000000,6.267569
0.020000,3.858571,-0.032080,3.860000,2.000000,0.000000,0.000000,6.267431
0.020000,3.898566,-0.032713,3.900000,2.000000,0.000000,0.000000,6.267294
0.020000,3.938561,-0.033351,3.940000,2.000000,0.000000,0.000000,6.267158
0.020000,3.978555,-0.033995,3.980000,2.000000,0.000000,0.000000,6.267022
0.020000,4.018550,-0.034644,4.020000,2.000000,0.000000,0.000000,6.266887
